,title,year,genres,description,rating
830,Singham123,2015,"Action, Comedy            ","    In a village called Singarayakonda, ruled by a self-proclaimed king and mafia-lord, Lingham, seductive supercop Singham123 is assigned the mission impossible: to arrest Lingham. Will Singham 123 be successful in completing the mission?",4.8
831,Anaamika,2014,Thriller            ,"    Anaamika, a Tamilian Brahmin desperately meandering through the busy streets of Hyderabad in search for her husband. Saarthi, a confident and supportive cop helps Anaamika reach her goals.",5.6
832,Sasirekha Parinayam,2009,Romance            ,"    A girl (Genelia de Souza) who runs away from home on the day of her wedding she was made aware of, on the day it was supposed to happen - runs into a handsome 'stranger' (Tarun), slowly ...                See full summary »",5.3
833,Bendu Apparao RMP,2009,Comedy            ,nan,6.7
834,Rajaratha,2018,"Action, Adventure, Comedy            ",    It's a story of a Bus traveling from Rigalore(an imaginary place in malnad region of karnataka) to Chennai via Bengaluru. The journey has the hero and heroine occupying it and well ...                See full summary »,5.2
835,Danger,,Thriller            ,    Five friends on the run witness a horrifying ritual that changes their lives forever.,6.4
836,Andari Bandhuvaya,2010,Drama            ,"    Nandu (Sarwanand), a village youth who works in a city, is altruistic. His colleague, Paddu (Padma Priya), is a composed girl, who is particular about spending each and every rupee for her ...                See full summary »",7.3
837,Seenu,1999,Romance            ,"    A country man comes to city to meet his friends and with ego, he pretends as a dumb person for the sake of friendship with his girlfriend.",5.6
838,Janda Pai Kapiraju,2015,"Action, Thriller            ","    Arvind Nani who came to the city from a rural area, is a naive employee in a company. He cannot tolerate corruption, bribery, breaking rules, lavishness and the urban culture of youth in ...                See full summary »",6.3
839,Deyyam,1996,Horror            ,"    A family buys a farmhouse situated near a haunted graveyard. Soon, they are under attack.",6.4
840,Rowdy Alludu,1991,"Action, Comedy            ","    Chiranjeevi plays the dual roles of a Mumbai-based auto driver, Johnny and an industrialist, Kalyan. Because Kalyan was interfering with the plans of the villains, led by Kota Srinivasa Rao...                See full summary »",6.9
841,Krishna Aur Kans,2012,"Animation, Action, Adventure            ","    Hailed as India's first stereoscopic animated film, 'Krishna Aur Kans' is an exciting narrative full of action and drama. The movie chronicles Krishna's early years -- from his birth as the nemesis of his tyrannical uncle Kans.",6.5
842,Seema Tapakai,2011,Comedy            ,"    Sri, the son of a wealthy businessman falls for Satya, a girl who despises rich people. To impress her, Sri pretends to be poor and ropes in his family to do the same for him.",6.1
843,Mahathma,2009,"Action, Crime, Drama            ",    An uninhibited goon decides to become a member of the Indian Legislative Assembly.,5.9
844,Baanam,2009,"Action, Drama            ",    The journey of a young IPS aspirant Bhagat who is the son of a former Naxalite.,7.1
845,Bhai,2013,"Action, Comedy, Thriller            ",    A hitman turns against his boss in order to save his brother.,3.2
846,Itlu Sravani Subramanyam,2001,"Drama, Romance            ",    Sravani and Subramanyam meet at a suicide point but are unsuccessful when they try to help each other die. They soon begin to fall in love and decide to run away from their homes.,6.5
847,Sathyam,2008,"Action, Drama            ","    Sathyam, an assistant police commissioner, fights crime in his own way.",5.1
848,Bhale Ramudu,1984,Family            ,"    Bhale Ramudu is a 1984 Indian Telugu film, directed by K.S.R. Dass and Produced by Mohan Babu. The film stars Mohan Babu, Murali Mohan, Madhavi, Nutan Prasad and Chalapathi Rao in lead ...                See full summary »",1.3
849,Pressure Cooker,2020,"Comedy, Drama, Family            ","    This is a new age family drama entertainer. The story is about a young graduate under pressure from his father who expects him to go and ""settle"" in USA to be seen as successful. #pressurecookermovie",6.5
850,Ranam,2006,Action            ,    The duel between hero and villain when hero falls for villains sister,6.5
851,Aavida Maa Aavide,1998,"Comedy, Romance            ","    Vikranth comes from an upper-class family. As he is of marriageable age, his parents want him to get married. He then meets with Archana and both fall in love, and both inform their ...                See full summary »",6.4
852,Alavuddinum Athbutha Vilakkum,1979,"Adventure, Drama, Fantasy            ","    Kamaruddin, the commander of the armed forces of Baghdad, has designs on princess Roshni, the heiress to the kingdom, as her husband will rule the land after the Caliph's death. Roshni, ...                See full summary »",6.6
853,Naa Mogudu Nanke Sontham,1989,Comedy            ,"    Naa Mogudu Naake Sontham is a 1987 Indian Telugu film, directed by Dasari Narayana Rao and produced by Mohan Babu. The film stars Mohan Babu, Jayasudha, Vani Viswanathan, Dasari Narayana ...                See full summary »",3.2
854,Sri Anjaneyam,2004,Fantasy            ,"    Sri Anjaneyam is a Telugu film directed and produced by Krishna Vamsi. It stars Arjun Sarja, Nitin, Charmme Kaur in the lead roles. Prakash Raj and Ramya Krishna play supporting roles. This...                See full summary »",4.4
855,Chiru Navvuto,2000,"Comedy, Drama, Romance            ",    Chirunavvutho is the story about Venu (Venu) who moves to Hyderabad after being dumped by Aruna (Prema). He falls in love with another girl called Sandhya (Shaheen Khan) and proposes to her...                See full summary »,7.2
856,Operation Gold Fish,2019,"Action, Thriller            ",    A group of commandos set out on a mission to find and eliminate a mysterious terrorist mastermind called Gold Fish in the Kashmir valley.,4.4
857,Subrahmanyapuram,2018,"Drama, Mystery, Thriller            ","    Karthik, an atheist, investigates a series of suicides, which are believed to be an act of God by the people of Subrahmanyapuram",5.5
858,Baava,2010,Drama            ,"    History appears to be repeating itself when, just like his father, a young man falls for a woman whose family disapproves of him. However, with his father's help, he chooses to fight fate rather than accept it.",4.7
859,Veera Prathap,1987,"Action, Adventure, Comedy            ","    Veera Pratap is a 1987 Indian Telugu film, directed by B. Vittalacharya and produced by Mohan Babu. The film stars Mohan Babu and Madhavi in lead roles. Music of the film was composed by ...                See full summary »",1.2
860,Courier Boy Kalyan,2015,"Action, Romance, Thriller            ",    A courier boy's life turn into unexpected consequences because of a courier received from a social service activist.,5.4
861,Jabardasth,2013,Comedy            ,"    A carefree young man befriends a feisty girl, becomes her business partner, but when she falls in love with him, things get complicated and they separate. What will happen when another girl...                See full summary »",3.9
862,Pellam Oorelithe,2003,"Comedy, Drama            ",    Two men pretend to be married to a prostitute to protect each other's marriages.,6.8
863,Hanuman Junction,2001,"Drama, Action, Comedy            ","    A man falls in love with the sister of two thugs. In order to win her heart, he not only joins her brother's company but also tries to sort out their complicated love lives",6.8
864,Money,1993,"Action, Comedy, Drama            ",    Two guys in dearth need of money kidnap their rich neighbor only to realize that her husband actually wants her dead.,7.2
865,Ninnu Thalachi,2019,"Comedy, Romance            ","    Abhiram (Vamsi Yakasiri) is a happy-go-lucky guy, who falls in love at first sight with a girl named Ankitha tries very hard to explain his feeling to her. On the other hand, she loves ...                See full summary »",7.4
866,Jayammu Nischayammuu Raa,2016,Comedy            ,    A simple man begins to find himself when he leaves his home and mother to pursue love and a career.,7.2
867,A Film by Aravind,2005,"Horror, Mystery            ",    Best friends since childhood Aravind and Rishi struggled for film industry fame before Aravind's films with Rishi as hero become successful. They plan to go on a road trip to search for ...                See full summary »,7.1
